Sr.No,Smiles,Solvent,AbsorptioMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Weiner
27,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3CCO,CCO,408,515,Yes,283.248,2.4357,-3.494,3,0,725
28,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3OCC(O)CO,OCC(O)CO,365,465,Yes,229.157,1.3826,-2.915,3,1,394
29,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21C1CCCCC1,C1CCCCC1,454,501,Yes,350.441,3.4688,-4.227,4,0,1545
30,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21CC#N,CC#N,403,480,Yes,347.417,3.0835,-3.121,5,0,1683
31,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21CCO,CCO,354,420,Yes,217.267,1.9728,-2.803,3,1,419
32,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1CC#N,CC#N,383,481,Yes,271.237,2.4571,-3.543,3,1,656
33,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1CC#N,CC#N,530,555,Yes,443.565,5.276,-5.872,5,2,2882
34,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1CC#N,CC#N,515,538,Yes,645.879,1.8469,-7.298,5,0,1870
35,CCNc1cc2oc(=O)cc(C)c2cc1CCC#N,CC#N,521,534,Yes,833.863,1.7755,-6.824,5,0,1870
36,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1CCC#N,CC#N,548,566,Yes,971.643,4.1995,-9.768,5,0,2564
37,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1CCO,CO,522,542,Yes,645.879,1.8469,-7.298,5,0,1870
38,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12O,O,526,545,Yes,833.863,1.7755,-6.824,5,0,1870
39,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12O,O,556,571,Yes,971.643,4.1995,-9.768,5,0,2564
40,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12CO,CO,527,550,Yes,645.879,1.8469,-7.298,5,0,1870
41,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12CO,CO,532,551,Yes,833.863,1.7755,-6.824,5,0,1870
42,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12CO,CO,558,573,Yes,971.643,4.1995,-9.768,5,0,2564
43,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12CCO,CCO,529,551,Yes,645.879,1.8469,-7.298,5,0,1870
44,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12CCO,CCO,532,557,Yes,833.863,1.7755,-6.824,5,0,1870
45,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12CCO,CCO,561,576,Yes,971.643,4.1995,-9.768,5,0,2564
46,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12CC(C)O,CC(C)O,342,401,Yes,227.306,3.076,-4.212,2,0,532
47,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12CC(C)O,CC(C)O,355,421,Yes,227.306,3.076,-4.212,2,0,532
48,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12CC(C)O,CC(C)O,343,406,Yes,227.306,3.076,-4.212,2,0,532
49,CCC(=O)c1ccc2cc(N(C)C)ccc2c1C1CCCCC1,C1CCCCC1,254,430,Yes,227.306,3.076,-4.212,2,0,532
50,CCC(=O)c1ccc2cc(N(C)C)ccc2c1c1ccccc1,c1ccccc1,350,452,Yes,227.306,3.076,-4.212,2,0,532
51,CCC(=O)c1ccc2cc(N(C)C)ccc2c1CCN(CC)CC,CCN(CC)CC,375,515,Yes,227.306,3.076,-4.212,2,0,532
52,CCC(=O)c1ccc2cc(N(C)C)ccc2c1Clc1ccccc1,Clc1ccccc1,370,510,Yes,227.306,3.076,-4.212,2,0,532
53,CCC(=O)c1ccc2cc(N(C)C)ccc2c1CC(C)=O,CC(C)=O,364,531,Yes,227.306,3.076,-4.212,2,0,532
54,CCC(=O)c1ccc2cc(N(C)C)ccc2c1OCCO,OCCO,286,324,Yes,128.174,2.854,-3.222,0,0,109
55,CCC(=O)c1ccc2cc(N(C)C)ccc2c1OCC(O)CO,OCC(O)CO,294,328,Yes,200.356,4.6675,-3.611,0,0,272
56,c1ccc2ccccc2c1C1CCCCC1,C1CCCCC1,294,328,Yes,186.329,3.9708,-3.421,0,0,226
57,C[Si](C)(C)c1cccc2ccccc12C1CCCCC1,C1CCCCC1,294,329,Yes,242.437,5.8279,-6.442,0,0,498
58,C[SiH](C)c1cccc2ccccc12C1CCCCC1,C1CCCCC1,295,329,Yes,242.437,5.4366,-4.102,0,0,458
59,CCCC[Si](C)(C)c1cccc2ccccc12C1CCCCC1,C1CCCCC1,294,329,Yes,298.544,7.6455,-7.522,0,0,1042
60,CC(C)(C)[Si](C)(C)c1cccc2ccccc12C1CCCCC1,C1CCCCC1,300,333,Yes,272.539,6.481,-4,0,0,539
61,CCCCCCCC[Si](C)(C)c1cccc2ccccc12C1CCCCC1,C1CCCCC1,300,333,Yes,244.485,5.0876,-3.62,0,0,400
62,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12C1CCCCC1,C1CCCCC1,302,335,Yes,356.7,8.0192,-4.982,0,0,1178
63,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12C1CCCCC1,C1CCCCC1,312,327,Yes,230.382,4.5975,-3.629,1,0,395
64,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12C1CCCCC1,C1CCCCC1,315,333,Yes,225.366,4.5031,-4.384,1,0,395
65,COc1ccc([Si](C)(C)C)c2ccccc12C1CCCCC1,C1CCCCC1,311,333,Yes,225.366,4.5031,-4.384,1,0,395
66,C[Si](C)(C)c1ccc(C#N)c2ccccc12C1CCCCC1,C1CCCCC1,316,336,Yes,224.378,5.2063,-3.767,0,0,443
67,C[Si](C)(C)c1cccc2c(C#N)cccc12C1CCCCC1,C1CCCCC1,347,352,Yes,320.583,7.5586,-4.312,0,0,1101
68,C[Si](C)(C)C#Cc1cccc2ccccc12C1CCCCC1,C1CCCCC1,411,472,Yes,741.197,15.982,-10.436,4,0,1.62E+04
69,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12C1CCCCC1,C1CCCCC1,375,490,Yes,791.257,17.177,-12.042,4,0,1.86E+04
70,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCCCc1ccccc1,Cc1ccccc1,398,443,Yes,596.984,13.492,-8.72,2,0,1.10E+04
72,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12Cc1ccccc1,Cc1ccccc1,350,491,Yes,911.286,19.809,-19.838,2,0,3.47E+04
73,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1Cc1ccccc1,Cc1ccccc1,489,560,Yes,752.839,8.838,-11.624,4,0,7090
74,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1Cc1ccccc1,Cc1ccccc1,497.35,571.87,Yes,752.839,8.838,-11.624,4,0,7090
75,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=OCCCCCC,CCCCCC,506,591,Yes,752.839,8.838,-11.624,4,0,7090
76,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=OClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,507.67,599.78,Yes,752.839,8.838,-11.624,4,0,7090
77,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=OClCCl,ClCCl,508,618,Yes,752.839,8.838,-11.624,4,0,7090
78,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=OCCO,CCO,507,633,Yes,752.839,8.838,-11.624,4,0,7090
79,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=OCC#N,CC#N,525.37,663.08,Yes,752.839,8.838,-11.624,4,0,7090
80,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=OCS(C)=O,CS(C)=O,343,417,Yes,529.454,4.448,-6.74,4,0,1853
81,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1ClCCl,ClCCl,343,455,Yes,711.248,8.896,-12.95,5,0,6671
82,ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1ClCCl,ClCCl,343,419,Yes,711.248,8.896,-12.95,5,0,6671
83,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1ClCCl,ClCCl,343,463,Yes,937.823,14.567,-21.966,9,0,1.75E+04
84,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2ClCCl,ClCCl,343,457,Yes,1188.12,20.628,-29.878,9,0,3.38E+04
85,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2ClCCl,ClCCl,343,459,Yes,1438.42,26.688,-37.79,9,0,5.58E+04
86,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34ClCCl,ClCCl,580,623,Yes,846.957,12.016,-12.643,6,0,1.59E+04
87,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1Cc1ccccc1,Cc1ccccc1,615,637,Yes,1169.12,15.715,-19.352,8,0,4.05E+04
88,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1Cc1ccccc1,Cc1ccccc1,664,683,Yes,284.406,2.5517,-3.442,3,0,805
89,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1CC#N,CC#N,655,672,Yes,284.406,2.5517,-3.442,3,0,805
90,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1CCO,CCO,655,680,Yes,284.406,2.5517,-3.442,3,0,805
91,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1OCC(O)CO,OCC(O)CO,662,682,Yes,284.406,2.5517,-3.442,3,0,805
92,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12CC#N,CC#N,374,479,Yes,300.36,4.081,-6.579,3,0,1103
93,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12CC#N,CC#N,438,491,Yes,412.495,5.3424,-7.92,4,0,2994
94,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12CC#N,CC#N,357,494,Yes,314.343,3.4657,-6.574,4,1,1232
95,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1CC#N,CC#N,372,501,Yes,314.343,3.4657,-6.574,4,1,1322
96,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1CC#N,CC#N,353,473,Yes,364.403,4.6601,-8.18,4,1,1924
97,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1CC#N,CC#N,362,485,Yes,396.469,5.2306,-8.691,4,1,2370
98,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1CCO,CCO,436,500,Yes,338.365,3.8536,-5.389,4,0,1473
99,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1CCO,CCO,533,615,Yes,444.493,3.9718,-6.001,6,1,3221
100,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=OCCO,CCO,488,597,Yes,612.815,9.1715,-8.977,6,0,8261
101,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=OCCO,CCO,437,509,Yes,486.53,4.2779,-6.259,7,0,3878
102,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1CCCCCC,CCCCCC,427,465,Yes,338.365,3.8536,-5.389,4,0,1473
103,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1Cc1ccccc1,Cc1ccccc1,435,483,Yes,338.365,3.8536,-5.389,4,0,1473
104,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1ClCCl,ClCCl,437,490,Yes,338.365,3.8536,-5.389,4,0,1473
105,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1C1CCOC1,C1CCOC1,432,485,Yes,338.365,3.8536,-5.389,4,0,1473
106,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1CCCCCC,CCCCCC,497,594,Yes,444.493,3.9718,-6.001,6,1,3221
107,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1Cc1ccccc1,Cc1ccccc1,517,606,Yes,444.493,3.9718,-6.001,6,1,3221
108,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1ClCCl,ClCCl,527,611,Yes,444.493,3.9718,-6.001,6,1,3221
109,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1C1CCOC1,C1CCOC1,520,609,Yes,444.493,3.9718,-6.001,6,1,3221
110,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=OCCCCCC,CCCCCC,480,555,Yes,612.815,9.1715,-8.977,6,0,8261
111,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=OCc1ccccc1,Cc1ccccc1,492,573,Yes,612.815,9.1715,-8.977,6,0,8261
112,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=OClCCl,ClCCl,500,587,Yes,612.815,9.1715,-8.977,6,0,8261
113,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=OC1CCOC1,C1CCOC1,497,583,Yes,612.815,9.1715,-8.977,6,0,8261
114,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=OCCCCCC,CCCCCC,432,486,Yes,486.53,4.2779,-6.259,7,0,3878
115,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=OCc1ccccc1,Cc1ccccc1,437,491,Yes,486.53,4.2779,-6.259,7,0,3878
116,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=OClCCl,ClCCl,439,497,Yes,486.53,4.2779,-6.259,7,0,3878
117,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=OC1CCOC1,C1CCOC1,436,497,Yes,486.53,4.2779,-6.259,7,0,3878
118,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,445,460,Yes,588.704,11.634,-9.698,2,1,7650
119,O=C(O)CCCc1cc(C#Cc2ccccc2)c2ccc3c(C#Cc4ccccc4)cc(C#Cc4ccccc4)c4ccc1c2c34CS(C)=O,CS(C)=O,451,461,Yes,588.704,11.634,-9.698,2,1,7650
120,O=C1NC(=O)c2ccc(N3CCCCC3)c3cccc1c23ClC(Cl)Cl,ClC(Cl)Cl,414,517,Yes,280.326,2.7681,-4.585,4,1,824
121,O=C1NC(=O)c2ccc(N3CCOCC3)c3cccc1c23ClC(Cl)Cl,ClC(Cl)Cl,394,504,Yes,282.298,1.6041,-3.696,5,1,824
122,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])c(OCCOc2cc3cc(-c4ncc(C(=O)[O-])o4)oc3cc2N(CC(=O)[O-])CC(=O)[O-])c1O,O,362,500,Yes,636.501,-10.412,-4.882,17,0,8452
123,Cc1ccc(N(CC(=O)[O-])CC(=O)[O-])cc1OCCOc1cc(-c2cc3ccc(C(=O)[O-])cc3[nH]2)ccc1N(CC(=O)[O-])CC(=O)[O-]O,O,349,482,Yes,644.567,-9.434,-4.716,15,1,9209
124,CC(=O)OCOC(=O)CN(CC(=O)OCOC(C)=O)c1ccccc1OCCOc1cc(NC(=O)c2ccc3c(c2)C(=O)OC32c3cc(Cl)c(OC(C)=O)cc3Oc3cc(OC(C)=O)c(Cl)cc32)ccc1N(CC(=O)OCOC(C)=O)CC(=O)OCOC(C)=OO,O,506,534,Yes,1290.97,6.0666,-12.327,29,1,5.18E+04
125,COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2nc(COc3cc(C)ccc3N(CC(=O)[O-])CC(=O)[O-])ccc2c1O,O,356,500,Yes,537.48,-8.3396,-3.221,13,0,5210
126,COc1cc(N(CC(=O)[O-])CC(=O)[O-])c2ncccc2c1O,O,353,487,Yes,288.258,-4.09,-1.926,7,0,874
127,O=C([O-])COc1cc(NC(=O)c2ccc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)c(C(=O)[O-])c2)ccc1N(CC(=O)[O-])CC(=O)[O-]O,O,506,532,Yes,721.413,-5.9649,-6.282,15,2,1.02E+04
128,COc1cc2cc(-c3ccc(C(=O)OCOC(C)=O)cc3C(=O)OCOC(C)=O)oc2cc1N1CCOCCOCCN(c2cc3oc(-c4ccc(C(=O)OCOC(C)=O)cc4C(=O)OCOC(C)=O)cc3cc2OC)CCOCCOCC1O,O,350,546,Yes,1171.12,6.2628,-12.152,26,0,5.00E+04
129,COc1cc(N2CCOCCOCCN(c3cc(OC)c(NC(=O)c4ccc(-c5c6cc(Cl)c(=O)cc-6oc6cc([O-])c(Cl)cc56)c(C(=O)[O-])c4)cc3OC)CCOCC2)c(OC)cc1NC(=O)c1ccc(-c2c3cc(Cl)c(=O)cc-3oc3cc([O-])c(Cl)cc23)c(C(=O)[O-])c1O,O,507,532,Yes,1370.98,1.8435,-13.475,23,2,6.68E+04
130,CCN1CCCc2cc3c(cc21)Oc1cc2c(cc1=N3)C(CS(=O)(=O)[O-])CC(C)(C)[N+]=2CCCC(=O)[O-]O,O,655,690,Yes,526.632,-2.2572,-3.625,9,0,4192
131,CN(C)c1ccc2cc3ccc(N(C)C)cc3nc2c1O,O,500,530,Yes,265.359,3.0853,-3.895,3,0,805
132,Nc1ccc2c(-c3ccc(C(=O)CN4C(=O)CCC4=O)cc3C(=O)[O-])c3ccc(=[NH2+])c(S(=O)(=O)[O-])c-3oc2c1S(=O)(=O)[O-]O,O,494,519,Yes,627.562,-6.0382,-2.093,15,3,5883
133,CC1(CCCCC(=O)NCCCCCCO)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)[O-])c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21O,O,651,672,Yes,941.151,-5.0579,-4.337,17,2,1.93E+04
134,CC1=CC(C)=[N+]2C1=Cc1ccc(CCC(=O)ON3C(=O)CCC3=O)n1[B-]2(F)FCO,CO,502,510,Yes,389.165,0.3814,-4.997,7,0,2093
135,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1CCO,CCO,460,505,Yes,350.441,3.4688,-4.227,4,0,1545
136,CC1(C)C2=C3C=C4C5=[N+](CCC4OC3CCN2c2ccc(CC(=O)NCCCCCCO)cc21)c1ccc(S(=O)(=O)[O-])cc1C5(C)CO,O,558,572,Yes,659.845,1.8473,-5.957,9,2,8794
137,CN1/C(=C/C=C/C2=[N+](CCCCCC(=O)O)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21O,O,548,562,Yes,615.746,-1.1847,-3.872,10,1,6402
138,O=C([O-])c1cc(N2C(=O)C=CC2=O)ccc1-c1c2cc(F)c(=O)cc-2oc2cc([O-])c(F)cc12O,O,493,520,Yes,461.331,-1.3188,-5.249,8,0,3087
139,CC1(C)C(/C=C/C=C/C=C/C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21O,O,780,820,Yes,751.986,4.0579,-9.769,8,0,1.31E+04
